层次	专业大类	专业类	专业名称及代码	官方链接	预期字节数	本地相对路径
高职专科	装备制造大类	自动化类	460310 工业互联网应用	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_zdhl/202502/P020250207523505902572.pdf	346599	高职专科/装备制造大类/自动化类/460310_工业互联网应用.pdf
高职专科	装备制造大类	自动化类	460311 计量测试与应用技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_zdhl/202502/P020250207523346568833.pdf	343876	高职专科/装备制造大类/自动化类/460311_计量测试与应用技术.pdf
高职专科	资源环境与安全大类	安全类	420901 安全技术与管理	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zyhjyaqdl/zyhjyaqdl_aql/202502/P020250207509466294960.pdf	346617	高职专科/资源环境与安全大类/安全类/420901_安全技术与管理.pdf
高职专科	资源环境与安全大类	安全类	420905 应急救援技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zyhjyaqdl/zyhjyaqdl_aql/202502/P020250207509278822780.pdf	341985	高职专科/资源环境与安全大类/安全类/420905_应急救援技术.pdf
高职专科	资源环境与安全大类	安全类	420906 消防救援技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zyhjyaqdl/zyhjyaqdl_aql/202502/P020250207509122027868.pdf	350446	高职专科/资源环境与安全大类/安全类/420906_消防救援技术.pdf
高职专科	资源环境与安全大类	安全类	420908 职业健康安全技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zyhjyaqdl/zyhjyaqdl_aql/202502/P020250207508978786410.pdf	352173	高职专科/资源环境与安全大类/安全类/420908_职业健康安全技术.pdf
高职专科	能源动力与材料大类	电力技术类	430104 分布式发电与智能微电网技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_nydlycldl/zyhjyaqdl_dljsl/202502/P020250207503024584406.pdf	337028	高职专科/能源动力与材料大类/电力技术类/430104_分布式发电与智能微电网技术.pdf
高职专科	能源动力与材料大类	电力技术类	430105 电力系统自动化技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_nydlycldl/zyhjyaqdl_dljsl/202502/P020250207503650930772.pdf	344395	高职专科/能源动力与材料大类/电力技术类/430105_电力系统自动化技术.pdf
高职专科	能源动力与材料大类	电力技术类	430106 电力系统继电保护技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_nydlycldl/zyhjyaqdl_dljsl/202502/P020250207504487131679.pdf	343046	高职专科/能源动力与材料大类/电力技术类/430106_电力系统继电保护技术.pdf
高职专科	能源动力与材料大类	电力技术类	430107 输配电工程技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_nydlycldl/zyhjyaqdl_dljsl/202502/P020250207506285729165.pdf	337954	高职专科/能源动力与材料大类/电力技术类/430107_输配电工程技术.pdf
高职专科	能源动力与材料大类	电力技术类	430108 供用电技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_nydlycldl/zyhjyaqdl_dljsl/202502/P020250207506725755514.pdf	351117	高职专科/能源动力与材料大类/电力技术类/430108_供用电技术.pdf
高职专科	资源环境与安全大类	地质类	420209 城市地质勘查	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zyhjyaqdl/zyhjyaqdl_dzl/202502/P020250207504247725132.pdf	358876	高职专科/资源环境与安全大类/地质类/420209_城市地质勘查.pdf
高职专科	能源动力与材料大类	非金属材料类	430601 材料工程技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_nydlycldl/zyhjyaqdl_fjscll/202502/P020250207516967907475.pdf	336366	高职专科/能源动力与材料大类/非金属材料类/430601_材料工程技术.pdf
